c = 0.000652153,i = 185
c = 0.00105344,i = 211
c = 0.00106121,i = 209
c = 0.00110512,i = 122
c = 0.00111346,i = 166
c = 0.00116659,i = 208
c = 0.00119629,i = 167
c = 0.00122844,i = 186
c = 0.00127104,i = 187
c = 0.00147759,i = 170
c = 0.00153738,i = 168
c = 0.00155259,i = 149
c = 0.00184748,i = 136
c = 0.00205027,i = 212
c = 0.00207165,i = 165
c = 0.00209183,i = 169
c = 0.00217856,i = 150
c = 0.00306622,i = 206
c = 0.00339735,i = 207
c = 0.00363539,i = 210
c = 0.00388248,i = 184
c = 0.0041537,i = 151
c = 0.00522563,i = 205
c = 0.00609659,i = 183
c = 0.00631897,i = 94
c = 0.00655499,i = 135
c = 0.00704451,i = 152
c = 0.0086108,i = 225
c = 0.011652,i = 226
c = 0.0128906,i = 230
c = 0.0153421,i = 227
c = 0.0156711,i = 229
c = 0.0166872,i = 164
c = 0.0183558,i = 228
c = 0.018789,i = 123
c = 0.0188438,i = 213
c = 0.0204318,i = 89
c = 0.0230206,i = 224
c = 0.023173,i = 231
c = 0.0302683,i = 188
c = 0.030338,i = 91
c = 0.0307038,i = 153
c = 0.0308041,i = 95
c = 0.031687,i = 134
c = 0.0321669,i = 232
c = 0.0340623,i = 241
c = 0.0375892,i = 65
c = 0.0387779,i = 163
c = 0.0388307,i = 137
c = 0.0411648,i = 223
c = 0.0416326,i = 64
c = 0.0422935,i = 214
c = 0.0425209,i = 121
c = 0.0428135,i = 100
c = 0.0432705,i = 171
c = 0.0439673,i = 182
c = 0.0446545,i = 103
c = 0.0452186,i = 124
c = 0.0452253,i = 90
c = 0.0455417,i = 233
c = 0.0460642,i = 240
c = 0.0467627,i = 154
c = 0.0480536,i = 204
c = 0.0480842,i = 129
c = 0.0505932,i = 88
c = 0.0512964,i = 148
c = 0.0514317,i = 93
c = 0.0548829,i = 133
c = 0.0559719,i = 111
c = 0.0599334,i = 162
c = 0.0606025,i = 85
c = 0.0615143,i = 239
c = 0.0622014,i = 222
c = 0.0624535,i = 215
c = 0.0633648,i = 189
c = 0.0635467,i = 84
c = 0.0703771,i = 234
c = 0.0708318,i = 125
c = 0.0718763,i = 77
c = 0.0726427,i = 74
c = 0.0743248,i = 155
c = 0.0744286,i = 161
c = 0.0748149,i = 238
c = 0.0758916,i = 138
c = 0.0781921,i = 132
c = 0.0838866,i = 120
c = 0.0841564,i = 172
c = 0.0841977,i = 237
c = 0.0853907,i = 235
c = 0.0861935,i = 87
c = 0.0879009,i = 221
c = 0.088008,i = 216
c = 0.0897447,i = 99
c = 0.0945872,i = 131
c = 0.0948405,i = 190
c = 0.0953581,i = 181
c = 0.0956156,i = 160
c = 0.0958896,i = 92
c = 0.0962127,i = 156
c = 0.0969547,i = 126
c = 0.0996922,i = 157
c = 0.100938,i = 102
c = 0.101566,i = 147
c = 0.102893,i = 110
c = 0.104852,i = 217
c = 0.105894,i = 203
c = 0.10617,i = 80
c = 0.106421,i = 83
c = 0.107108,i = 108
c = 0.107985,i = 71
c = 0.10857,i = 158
c = 0.110298,i = 68
c = 0.110896,i = 220
c = 0.114347,i = 130
c = 0.114593,i = 139
c = 0.115355,i = 159
c = 0.115514,i = 82
c = 0.118458,i = 109
c = 0.119541,i = 51
c = 0.119854,i = 193
c = 0.121216,i = 236
c = 0.123506,i = 97
c = 0.124397,i = 98
c = 0.126116,i = 105
c = 0.127669,i = 191
c = 0.127724,i = 127
c = 0.127848,i = 119
c = 0.127949,i = 173
c = 0.133707,i = 219
c = 0.134554,i = 76
c = 0.139045,i = 218
c = 0.141798,i = 107
c = 0.147061,i = 180
c = 0.148258,i = 106
c = 0.148425,i = 146
c = 0.153996,i = 128
c = 0.155722,i = 202
c = 0.158119,i = 140
c = 0.158734,i = 73
c = 0.15945,i = 45
c = 0.16044,i = 192
c = 0.164923,i = 79
c = 0.171769,i = 118
c = 0.172728,i = 174
c = 0.175119,i = 52
c = 0.176007,i = 46
c = 0.185922,i = 53
c = 0.188386,i = 117
c = 0.195761,i = 141
c = 0.196886,i = 47
c = 0.196962,i = 44
c = 0.198911,i = 145
c = 0.209336,i = 201
c = 0.210929,i = 175
c = 0.212154,i = 81
c = 0.213274,i = 116
c = 0.213359,i = 179
c = 0.216567,i = 48
c = 0.223635,i = 12
c = 0.230316,i = 75
c = 0.231442,i = 112
c = 0.235184,i = 194
c = 0.243882,i = 142
c = 0.246988,i = 113
c = 0.248368,i = 67
c = 0.248434,i = 144
c = 0.248821,i = 70
c = 0.250768,i = 78
c = 0.250994,i = 7
c = 0.251474,i = 54
c = 0.253978,i = 200
c = 0.254559,i = 86
c = 0.256461,i = 114
c = 0.25916,i = 195
c = 0.264556,i = 176
c = 0.265306,i = 101
c = 0.267147,i = 115
c = 0.268144,i = 21
c = 0.270887,i = 20
c = 0.271097,i = 18
c = 0.273237,i = 196
c = 0.274358,i = 96
c = 0.275437,i = 199
c = 0.278302,i = 61
c = 0.284437,i = 29
c = 0.286616,i = 104
c = 0.287464,i = 178
c = 0.287613,i = 32
c = 0.289223,i = 28
c = 0.289326,i = 197
c = 0.289538,i = 31
c = 0.308263,i = 55
c = 0.310497,i = 143
c = 0.312325,i = 198
c = 0.317617,i = 25
c = 0.318999,i = 24
c = 0.355662,i = 177
c = 0.358207,i = 56
c = 0.364009,i = 69
c = 0.364047,i = 72
c = 0.376146,i = 41
c = 0.391034,i = 39
c = 0.401841,i = 59
c = 0.406971,i = 63
c = 0.423214,i = 40
c = 0.436097,i = 37
c = 0.499609,i = 58
c = 0.527229,i = 13
c = 0.534711,i = 38
c = 0.557779,i = 30
c = 0.562521,i = 33
c = 0.566881,i = 19
c = 0.579015,i = 16
c = 0.581887,i = 8
c = 0.599286,i = 26
c = 0.603849,i = 23
c = 0.639138,i = 66
c = 0.66629,i = 11
c = 0.681735,i = 15
c = 0.695818,i = 62
c = 0.727654,i = 9
c = 0.73331,i = 17
c = 0.784752,i = 22
c = 0.796993,i = 27
c = 0.845063,i = 60
c = 0.878819,i = 10
c = 0.882237,i = 42
c = 0.901283,i = 14
