c = 0.000102793,i = 135
c = 0.000166139,i = 41
c = 0.00017535,i = 50
c = 0.000191597,i = 24
c = 0.000214504,i = 52
c = 0.000226612,i = 271
c = 0.000241026,i = 236
c = 0.000244642,i = 199
c = 0.000259394,i = 89
c = 0.000294063,i = 104
c = 0.000352675,i = 121
c = 0.00038235,i = 11
c = 0.000383188,i = 12
c = 0.000387527,i = 90
c = 0.000393885,i = 65
c = 0.000411016,i = 140
c = 0.000411721,i = 101
c = 0.000418845,i = 119
c = 0.000440764,i = 270
c = 0.000457378,i = 91
c = 0.000462205,i = 139
c = 0.000472139,i = 124
c = 0.000479142,i = 20
c = 0.000491651,i = 67
c = 0.000591935,i = 72
c = 0.000627479,i = 82
c = 0.000639036,i = 23
c = 0.000644199,i = 238
c = 0.000657533,i = 95
c = 0.000669371,i = 269
c = 0.000743077,i = 28
c = 0.000774603,i = 33
c = 0.000781019,i = 71
c = 0.000786324,i = 76
c = 0.000799265,i = 43
c = 0.000872023,i = 114
c = 0.000880487,i = 141
c = 0.000881024,i = 74
c = 0.00088699,i = 191
c = 0.000887965,i = 47
c = 0.000904966,i = 46
c = 0.000914988,i = 79
c = 0.00092936,i = 75
c = 0.000948132,i = 106
c = 0.000965194,i = 39
c = 0.00101325,i = 80
c = 0.00101715,i = 108
c = 0.00106133,i = 103
c = 0.00107841,i = 131
c = 0.00110649,i = 17
c = 0.00111088,i = 227
c = 0.00111167,i = 258
c = 0.00113245,i = 26
c = 0.00113478,i = 10
c = 0.00113572,i = 137
c = 0.00116698,i = 84
c = 0.0012335,i = 51
c = 0.00126169,i = 34
c = 0.0012852,i = 29
c = 0.00132493,i = 31
c = 0.00133961,i = 193
c = 0.00137373,i = 21
c = 0.00138849,i = 73
c = 0.00144017,i = 30
c = 0.00144511,i = 69
c = 0.00144604,i = 260
c = 0.00144631,i = 49
c = 0.00145675,i = 100
c = 0.00161432,i = 261
c = 0.00164684,i = 40
c = 0.00166668,i = 112
c = 0.00166753,i = 264
c = 0.00171918,i = 268
c = 0.00172795,i = 111
c = 0.0017532,i = 83
c = 0.00177597,i = 68
c = 0.00177764,i = 239
c = 0.00181935,i = 136
c = 0.00183589,i = 189
c = 0.00183972,i = 122
c = 0.00184695,i = 195
c = 0.00188388,i = 13
c = 0.00189493,i = 188
c = 0.00193408,i = 44
c = 0.00193846,i = 93
c = 0.00200184,i = 126
c = 0.00200944,i = 107
c = 0.00202491,i = 183
c = 0.00206607,i = 129
c = 0.00207707,i = 77
c = 0.00211503,i = 86
c = 0.00214503,i = 38
c = 0.00215032,i = 66
c = 0.00223096,i = 138
c = 0.00223152,i = 96
c = 0.00227547,i = 78
c = 0.00227637,i = 132
c = 0.00229294,i = 70
